Scene,Shot,VFX Tags,Complexity,Assets,# Shots,Description,VFX Assumptions,VFX Methodology,FX,ANIMATION,LIGHTING,COMPOSITING,CFX,MATTEPAINT
210,010,"2D DMP MED, 3D FULL CGI MED",EASY,ALIEN FIGHTER,1,Wide as ALIEN FIGHTER banks hard over the rooftops.,,,4,,,,,4
210,020,3D FULL CGI MED,HARD,SCOUT SAUCER,1,SCOUT SAUCER fires on the fleeing crowd below.,,,6,,,9,3,4
210,030,"3D CHARACTER MED, 2D COMP MED",EASY,HUMAN GUNSHIP,2,Wide as HUMAN GUNSHIP banks hard over the rooftops.,,,5,6,2,,2,
210,040,3D ENVIRO MED,HARD,SWARM INSECTOID,1,Tracking SWARM INSECTOID weaving between towers.,,,,4,4,,9,
210,050,"3D FX MED, 3D ENVIRO MED",MEDIUM,"HUMAN GUNSHIP, SCOUT SAUCER",1,HUMAN GUNSHIP fires on the fleeing crowd below.,,,,,,2,,2
210,060,"3D FX MED, 2D DMP MED",HARD,HARBOUR CITY,1,Wide as HARBOUR CITY banks hard over the rooftops.,,,12,,,,9,6
210,070,"3D FX MED, 3D ENVIRO MED",VERY HARD,ALIEN HIVE INTERIOR,3,ALIEN HIVE INTERIOR fires on the fleeing crowd below.,,,8,16,6,,,
210,080,"3D ENVIRO MED, 3D FULL CGI MED",EASY,ALIEN SOLDIER,1,ALIEN SOLDIER fires on the fleeing crowd below.,,,,,4,2,2,2
210,090,3D CHARACTER MED,HARD,ALIEN FIGHTER,2,Close on ALIEN FIGHTER as its shields flare.,ALIEN FIGHTER is full CG; plate clean.,"Matchmove, animate, sim FX, light & comp.",,,,6,9,
210,100,"3D CHARACTER MED, 2D COMP MED",COMPLEX,SWARM INSECTOID,1,SWARM INSECTOID crashes through a billboard in a shower of sparks.,,,,24,,6,15,15
210,110,3D CHARACTER MED,EASY,ALIEN SOLDIER,1,Close on ALIEN SOLDIER as its shields flare.,,,3,,,,4,
210,120,"2D COMP MED, 3D FULL CGI MED",EASY,SCOUT SAUCER,1,SCOUT SAUCER looms over the team as they take cover.,SCOUT SAUCER is full CG; plate clean.,"Matchmove, animate, sim FX, light & comp.",,,2,4,2,
220,010,"3D FX MED, 3D FULL CGI MED",EASY,"ALIEN SOLDIER, ALIEN HIVE INTERIOR",1,ALIEN SOLDIER looms over the team as they take cover.,ALIEN SOLDIER is full CG; plate clean.,"Matchmove, animate, sim FX, light & comp.",,4,,,2,
220,020,2D COMP MED,MEDIUM,ALIEN HIVE INTERIOR,1,Close on ALIEN HIVE INTERIOR as its shields flare.,,,,8,4,,,
220,030,3D CHARACTER MED,VERY HARD,"ALIEN FIGHTER, ALIEN FIGHTER",1,ALIEN FIGHTER crashes through a billboard in a shower of sparks.,ALIEN FIGHTER is full CG; plate clean.,"Matchmove, animate, sim FX, light & comp.",12,,8,,,
